id,infra,name,iso3,Continent_Code,geometry,canal_main,v_out,q_out,v_in,q_in,v_total,q_total
port740,port,Milford Haven_United Kingdom,GBR,EU,POINT (-5.023498673563534 51.700542852180774),Panama,298325590.16573423,164278.3922576863,93073525.44275084,64545.96822503868,391399115.6084851,228824.36048272497
port4,port,Abidjan_Cote d'Ivoire,CIV,AF,POINT (-4.010908317124335 5.2839562225326215),Panama,53252411.521846615,116771.06283254178,55198620.86023417,132578.08452249336,108451032.3820808,249349.14735503512
port6,port,Acajutla_El Salvador,SLV,NA,POINT (-89.82967225900508 13.575440073254065),Panama,707549416.4495054,1338392.318881053,862366725.3837528,1393393.31903043,1569916141.8332582,2731785.6379114827
port7,port,Acapulco_Mexico,MEX,NA,POINT (-99.87240809616472 16.842818111519165),Panama,29119921.663894806,15147.228648474287,8070757.122968145,10130.211183611811,37190678.786862954,25277.4398320861
port38,port,Altamira_Mexico,MEX,NA,POINT (-97.88500211589354 22.484096017261084),Panama,96148926.25796536,54164.83718085727,11588240.421538016,18934.52846241171,107737166.67950337,73099.36564326897
port252,port,Coatzacoalcos_Mexico,MEX,NA,POINT (-94.40048652600215 18.120759614994963),Panama,46505485.87867616,33547.911028303686,100273076.7823598,80013.63565595678,146778562.66103595,113561.54668426047
port326,port,Ensenada_Mexico,MEX,NA,POINT (-116.62459926143812 31.849564665244007),Panama,1060353938.0007014,938586.2200298918,476991717.00358415,394914.1600812932,1537345655.0042856,1333500.380111185
port427,port,Guaymas_Mexico,MEX,NA,POINT (-110.86736420579369 27.923313175810502),Panama,476342104.8044409,1168508.8009468971,99321298.32976356,159505.07652883412,575663403.1342045,1328013.8774757313
port637,port,Lazaro Cardenas_Mexico,MEX,NA,POINT (-102.18437112541875 17.944252129652373),Panama,3498155797.2745767,2741547.504134551,7648526732.283163,7110297.923464429,11146682529.55774,9851845.42759898
port699,port,Manzanillo_Mexico,MEX,NA,POINT (-104.28766089294594 19.056267448711093),Panama,7448080380.314869,9437895.380655656,11535905816.704082,18200416.265282236,18983986197.01895,27638311.64593789
port723,port,Mazatlan_Mexico,MEX,NA,POINT (-106.41680997230965 23.193060245226256),Panama,77101751.18657528,72098.47833489435,34360007.22515439,61768.42907829133,111461758.41172966,133866.9074131857
port905,port,Pichilingue_Mexico,MEX,NA,POINT (-110.33074622545416 24.270594066859584),Panama,122029698.31628059,100098.82054698921,96806263.39606804,85635.23336237087,218835961.71234864,185734.05390936008
port1023,port,Progreso_Mexico,MEX,NA,POINT (-89.67539375387608 21.34384604472606),Panama,69558187.63222712,80901.1291899794,170253282.68171215,97898.59248798946,239811470.31393927,178799.72167796886
port1109,port,Rosarito_Mexico,MEX,NA,POINT (-117.07002938714996 32.37533608096319),Panama,26096113.076259784,30733.63623228403,79834257.85954495,79351.80161092522,105930370.93580472,110085.43784320925
port1136,port,Salina Cruz_Mexico,MEX,NA,POINT (-95.18846508600525 16.19017688345231),Panama,578691732.2477725,1205266.517909879,255876343.11471552,417809.03368049324,834568075.362488,1623075.5515903723
