from_id,to_id,from_infra,to_infra,distance,length,geometry,v_sea_flow,q_sea_flow
port296,maritime2754,port,maritime,141.69201135206131,1.3861567464292182,"LINESTRING (11.305065427305346 63.752865221539935, 10.69999981 64.99999237)",864028.2966892236,4984.122156742941
port299,maritime64,port,maritime,220.4788136470633,1.9855356699911506,"LINESTRING (9.683368801434446 4.0528808646156484, 8 2.999969959)",12724183.666645674,30932.425404008492
port301,maritime2203,port,maritime,35.67547172138436,0.32139167059077955,"LINESTRING (1.3243048041574812 51.12045225982155, 1.300009966 50.79998016)",52659462.086002395,6581.866551310532
port31,maritime86,port,maritime,22.912479554755368,0.21176611425337974,"LINESTRING (-5.414266527700274 36.16592191437791, -5.331309795 35.97108078)",816682139.9838514,501150.834860327
port310,maritime2205,port,maritime,14.614848668452202,0.1846683540676512,"LINESTRING (2.2667766493888406 51.02068300332831, 2.099999905 51.0999794)",80810809.17922981,29110.882932252258
port311,maritime132,port,maritime,95.04402503692812,0.9840611480095084,"LINESTRING (31.023022434194175 -29.882129614364494, 32 -29.99999046)",9182996.078534702,6402.835372578116
port312,maritime643,port,maritime,108.4794217015802,1.1880252273002985,"LINESTRING (19.443999898412237 41.34064126097365, 18.41159058 40.75281906)",821.1844138641773,0.0075949258311564
port314,maritime7839,port,maritime,2.3787495953396562,0.02575896601783144,"LINESTRING (-118.40197968164686 33.914907439319514, -118.4276962 33.91342926)",220761644.9802053,421833.81660448964
port318,maritime3986,port,maritime,263.5158383186492,2.407223920577019,"LINESTRING (-64.02942038829006 10.877324091130324, -61.90000916 11.99997044)",4725.9411359096375,0.8751737933373616
port319,maritime2642,port,maritime,56.91486983829363,0.5224668753904549,"LINESTRING (-8.609401597566807 33.11351890616566, -8.800000191 33.5999794)",305922.84042877826,26.79448147029821
port32,maritime672,port,maritime,45.18288541507035,0.42204202364600274,"LINESTRING (3.066287649623686 36.766686240592, 2.87658 37.1436882)",384597.4619683832,918.6663609159547
port320,maritime3979,port,maritime,161.91730272126264,1.4788904010245398,"LINESTRING (-68.13572967966111 10.483395770568489, -66.75 10.99999046)",560.9130421850214,0.061163291838643
port321,maritime2917,port,maritime,26.312975128774927,0.24636124299245854,"LINESTRING (32.46211563003946 29.904162912450463, 32.59999847 29.70000076)",3686457.506647989,3959.9556698632186
port323,maritime2852,port,maritime,48.69286290723615,0.4937965092418631,"LINESTRING (7.183700069745903 53.345804517554434, 6.900000095 53.74996948)",67350390.54862012,10156.553143091365
port326,maritime6271,port,maritime,107.19879124436883,1.0166054813929615,"LINESTRING (-116.62459926143812 31.849564665244007, -117.2289886 32.66699982)",1060353938.0007014,938586.2200298918
port33,maritime2326,port,maritime,39.157953151139374,0.44551108603945777,"LINESTRING (26.934998289101188 38.80383336268498, 26.49999046 38.90000153)",624411.9835117885,370.1576624052237
port330,maritime388,port,maritime,75.85284783540168,0.6822742833069304,"LINESTRING (-79.65069729235927 0.9904562019326203, -80.30000305 1.199980021)",123287403.50620039,365870.5328387984
port331,maritime3131,port,maritime,70.42541255675148,0.6358751819435332,"LINESTRING (121.90073734497213 -33.87217365996532, 121.8000031 -34.50001907)",212061.5333196883,2355.396225305289
