id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port789,Namsos_Norway,NOR,POINT (11.506892696573285 64.4610397005586),64.4610397005586,11.506892696573285,45444983.14910537,42679415.87152891,7462803.632161169,95587202.65279545
port716,Masao_Philippines,PHL,POINT (125.84006506130537 9.52727401650679),9.52727401650679,125.84006506130537,45126625.733113185,245822330.50313878,60257090.09577205,351206046.332024
port1022,Probolinggo_Indonesia,IDN,POINT (113.41571239576976 -7.717113050082015),-7.717113050082015,113.41571239576976,44094979.09684006,55791263.26565614,240923.56157400884,100127165.92407021
port619,La Libertad_Ecuador,ECU,POINT (-80.90045730252382 -2.222869497654159),-2.222869497654159,-80.90045730252382,44080675.014153555,717857730.5414308,97283.27377055712,762035688.829355
port1066,Put Put_Papua New Guinea,PNG,POINT (152.65099368251364 -3.121438197352624),-3.121438197352624,152.65099368251364,44011801.48245623,117708610.24691893,7435820.115585679,169156231.84496084
port1085,Randers_Denmark,DNK,POINT (10.053023207437159 56.45831688065897),56.45831688065897,10.053023207437159,43600457.24550041,190691561.72534147,613450.2003960258,234905469.17123792
port820,Nice_France,FRA,POINT (7.284023851279664 43.69433070558879),43.69433070558879,7.284023851279664,43529254.63158847,174534686.7457071,7798762.652693872,225862704.02998942
port663,Lorient_France,FRA,POINT (-3.3574001252351495 47.738762594020734),47.738762594020734,-3.3574001252351495,43373719.175176784,1260166331.2565913,367073.98960296006,1303907124.4213712
port1088,Ras Al Mishab_Saudi Arabia,SAU,POINT (48.81709477253759 27.88827937076492),27.88827937076492,48.81709477253759,42623292.999102734,100030370.71294864,0.0,142653663.71205136
port366,Funafuti Atoll_Tuvalu,TUV,POINT (179.1953024496817 -8.502722898706667),-8.502722898706667,179.1953024496817,41831868.05659644,30776269.57593347,248005.36776713666,72856143.00029705
port998,Porto Da Praia_Cape Verde,CPV,POINT (-23.49968560063622 14.91004981562762),14.91004981562762,-23.49968560063622,40831967.7985887,334652801.89678603,14872003.974466078,390356773.6698408
port1226,Steinkjer_Norway,NOR,POINT (11.336094497211013 64.00404594734353),64.00404594734353,11.336094497211013,40070245.795444675,49540539.99104897,663748.9599707193,90274534.74646436
port639,Leith_United Kingdom,GBR,POINT (-3.1742223499594204 55.982917517988554),55.982917517988554,-3.1742223499594204,40002121.89343713,143521492.37155724,0.0,183523614.26499438
port363,Fukui Ko_Japan,JPN,POINT (136.11513900904595 36.185209366806724),36.185209366806724,136.11513900904595,39615211.98893131,293409130.69978005,0.0,333024342.68871135
port1317,Trelleborg_Sweden,SWE,POINT (13.152604058500495 55.37010002434513),55.37010002434513,13.152604058500495,39297695.00714086,28163556.15641934,2185.903254661103,67463437.06681485
port806,Nepoui_New Caledonia,NCL,POINT (164.9885890483201 -21.333624931695443),-21.333624931695443,164.9885890483201,37984856.85822847,0.0,0.0,37984856.85822847
port991,Port-La-Nouvelle_France,FRA,POINT (3.0541410687825317 43.023159020484066),43.023159020484066,3.0541410687825317,37886270.76218648,38526329.027218066,515.7337741126404,76413115.52317865
port684,Makhachkala Port_Russia,RUS,POINT (47.472580517038004 43.00807675363293),43.00807675363293,47.472580517038004,37391800.994553156,141238431.58128476,248255157.95865017,426885390.5344881
port298,Dos Bocas Terminal_Mexico,MEX,POINT (-93.18303295874652 18.43219459731968),18.43219459731968,-93.18303295874652,37034531.44592572,8290980.748200084,23067523.708862316,68393035.90298812
port198,Butuan City_Philippines,PHL,POINT (125.50936292725692 9.276185803240052),9.276185803240052,125.50936292725692,37005190.737351164,0.0,0.0,37005190.737351164
port1247,Tachibana_Japan,JPN,POINT (134.65140045904812 33.87071976243685),33.87071976243685,134.65140045904812,36520557.46245136,580402738.4164021,0.0,616923295.8788534
port100,Baku Port_Azerbaijan,AZE,POINT (49.732523973853574 40.28461052178386),40.28461052178386,49.732523973853574,36283969.93570667,72992653.65609679,404954088.37603486,514230711.9678383
port1210,Solvesborg_Sweden,SWE,POINT (14.579450217845784 56.03921167004422),56.03921167004422,14.579450217845784,36050444.20585638,248604743.21788663,1264102.5687817158,285919289.99252474
port209,Calumet Harbor_U.S.A.,USA,POINT (-87.55852757847056 41.68270147934292),41.68270147934292,-87.55852757847056,36035756.810628116,536664981.3657228,190414954.600574,763115692.7769248
port631,Lamu_Kenya,KEN,POINT (40.91448116816421 -2.1964625780332265),-2.1964625780332265,40.91448116816421,35733095.50224198,959077.8711718855,0.0,36692173.37341386
port497,Inkoo_Finland,FIN,POINT (23.92754542449529 60.01761236786758),60.01761236786758,23.92754542449529,35671500.783189096,65863167.45988296,4671913.430335318,106206581.67340738
port74,Ashqelon_Israel,ISR,POINT (34.539134412717075 31.640773920575132),31.640773920575132,34.539134412717075,35636157.76178286,399839771.1222307,234415.13680982898,435710344.0208234
port166,Brasil Port_Brazil,BRA,POINT (-41.01992427396906 -21.850656211930808),-21.850656211930808,-41.01992427396906,35294100.2352744,417570485.024259,31875437.769517608,484740023.02905095
port1168,Sassnitz_Germany,DEU,POINT (13.589807711633272 54.485451604009654),54.485451604009654,13.589807711633272,34585871.221372016,68582238.8979236,23836.925194020085,103191947.04448965
port1395,Whyalla_Australia,AUS,POINT (137.59020210605993 -33.00851704187169),-33.00851704187169,137.59020210605993,33431501.281383768,138143547.11597997,0.0,171575048.39736372
port1373,Volos_Greece,GRC,POINT (22.95374678526965 39.354482090907744),39.354482090907744,22.95374678526965,33091311.935040057,16234693.475055987,0.0,49326005.41009604
port1321,Tromso_Norway,NOR,POINT (18.992734629758736 69.67410682761728),69.67410682761728,18.992734629758736,33038829.619137086,38555174.5349065,9570321.023034118,81164325.17707771
port936,Port Bayside NB_Canada,CAN,POINT (-67.13762394561356 45.16295904292374),45.16295904292374,-67.13762394561356,32969427.63828402,16221093.739182469,2434939.2039111466,51625460.58137763
port251,Clifton Pier_Bahamas,BHS,POINT (-77.54462512670035 25.005151913156016),25.005151913156016,-77.54462512670035,32807433.186949328,190320898.97636187,1375676.894236049,224504009.05754724
port1233,Sundaomen Wuz_China,CHN,POINT (118.03934781655926 38.056343593885025),38.056343593885025,118.03934781655926,32576360.037525035,539375193.2891207,1267260.5493294245,573218813.8759751
port930,Port Alma_Australia,AUS,POINT (150.86011215382644 -23.584812223961293),-23.584812223961293,150.86011215382644,32009992.871792078,43838571.78323845,13188013.569303589,89036578.2243341
port625,Lafarge_Indonesia,IDN,POINT (95.24432070831921 5.452012951282794),5.452012951282794,95.24432070831921,31756557.745466605,6169551.869612132,0.0,37926109.61507874
port680,Mahajanga_Madagascar,MDG,POINT (46.31131115099042 -15.72612557115805),-15.72612557115805,46.31131115099042,31625517.95039411,55635508.78943468,29524133.352059245,116785160.09188804
port392,Ghazaquet_Algeria,DZA,POINT (-1.8625375909539548 35.1021976995162),35.1021976995162,-1.8625375909539548,31184064.5106405,200357234.61121297,0.0,231541299.12185347
port650,Linden_Guyana,GUY,POINT (-58.30264841930749 5.9999906993503425),5.9999906993503425,-58.30264841930749,31054136.409579743,17651.33175260136,16935918.514309954,48007706.255642295
port305,Duba Bulk Plant Tanker Terminal_Saudi Arabia,SAU,POINT (35.734910230982294 27.327605272323176),27.327605272323176,35.734910230982294,30421993.891547777,157569869.29290685,0.0,187991863.18445462
port545,Karatsu_Japan,JPN,POINT (129.95492157143448 33.47638831369121),33.47638831369121,129.95492157143448,30303296.326849926,125308733.01993032,13571195.707779165,169183225.0545594
